unit_id,source_article_id,title,role,file_label,relative_path,sha256,source_url
LME_036,SCS-1993,Stratified models of large marine ecosystems: application to the South China Sea,main,,archive/regions/LME_036/SCS-1993/StratifiedModelsOfLargeMarineEcosystems-48215ca2.pdf,48215ca25d214c39a0d7b79c4c98a97ea73d1648147f37d55524349b7a04f5a9,https://s3-us-west-2.amazonaws.com/legacy.seaaroundus/doc/Researcher+Publications/dpauly/PDF/1993/Books+and+Chapters/StratifiedModelsOfLargeMarineEcosystems.pdf
LME_036,SCS-2007,Vulnerability of marine fishes to fishing: from global overview to the northern South China Sea,main,,archive/regions/LME_036/SCS-2007/ubc_2007-317501-87ea9ea0.pdf,87ea9ea00b6b71b896f89c0364bba09071f1683a71f5a66c71ea4da6bdbe3468,
LME_032,ARAB-2005,Trophic Modelling of the Arabian Sea Ecosystem off Karnataka and Simulation of Fishery Yields,main,,archive/regions/LME_032/ARAB-2005/CMFRI-Bulletin-51-88a9c885.pdf,88a9c885c47a50f93916823c4616d1aa4ee4c0204baba7220cf3f0fa260c1ec9,
LME_047,ECS-2022,"Estimating the impact of a seasonal fishing moratorium on the East China Sea ecosystem, 1997–2018",main,,archive/regions/LME_047/ECS-2022/pdf-e60d0358.pdf,e60d0358c8aeac1f2bb816e550fc182238808d56649c579726f9c30cc86ac4c2,https://www.frontiersin.org/journals/marine-science/articles/10.3389/fmars.2022.865645/pdf
LME_047,ECS-2022,"Estimating the impact of a seasonal fishing moratorium on the East China Sea ecosystem, 1997–2018",supplement,,archive/regions/LME_047/ECS-2022/DataSheet_1_EstimatingtheImpactofaSeasonal-7491f315.docx,7491f315070536a302de3f0567b763449c561287df7c9196abb661c571a02215,https://ndownloader.figshare.com/files/35783864
LME_052,OKH-2004,Trophic model of the Sea of Okhotsk ecosystem,main,2020 report containing Okhotsk model chapter,archive/regions/LME_052/OKH-2004/Palomares20_FishCentResaRep28-440d8aa8.pdf,440d8aa860813d435891b107bf85340df773df322c83fa1f9f82069e3661851d,https://epic.awi.de/52730/1/Palomares20_FishCentResaRep28.pdf
LME_052,OKH-2015,Characterization of the Sea of Okhotsk Ecosystem Based on Ecosystem Modelling,main,Original publication: title and authors verified from downloaded first page,archive/regions/LME_052/OKH-2015/tv_2015_t_155_article_7-21b7d68d.pdf,21b7d68d834c47be674cd2a27995a397436feef78b97418694493472f6a89679,https://www.vniro.ru/files/trydi_vniro/archive/tv_2015_t_155_article_7.pdf
LME_027,CAN-2014,Marine protected areas and trophic functioning: Banc d'Arguin and Mauritanian Shelf,main,,archive/regions/LME_027/CAN-2014/file-e30dfe50.pdf,e30dfe50f30bf99224c385c6f59a1754b249e734b4ba8e36a875d4cc12e0fc6f,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0094742&type=printable
LME_027,CAN-2014,Marine protected areas and trophic functioning: Banc d'Arguin and Mauritanian Shelf,supplements,,archive/regions/LME_027/CAN-2014/pone.0094742.s001-eb18ca66.docx,eb18ca6633d0440941039fea12b6b827eee8b7e7a9e316875c2b3563b1926a8c,https://doi.org/10.1371/journal.pone.0094742
LME_027,CAN-2014,Marine protected areas and trophic functioning: Banc d'Arguin and Mauritanian Shelf,figure,,archive/regions/LME_027/CAN-2014/Figure_1-78156383.tif,78156383c10bc63209f095ab24a7d1b987de6d77b15f6b3a4bf90bc44d0d4e6d,https://ndownloader.figshare.com/files/1461538
LME_027,CAN-2014,Marine protected areas and trophic functioning: Banc d'Arguin and Mauritanian Shelf,figure,,archive/regions/LME_027/CAN-2014/Figure_2-9daf7030.tif,9daf7030de5b4e5028b57b0d1fec0a7b4df335a94373cdd1912b28b148f4399f,https://ndownloader.figshare.com/files/1461544
