unit_id,region_name,region_type,ppr_rank,ppr_species_2019,global_ppr_share,cumulative_ppr_share,selected_all84,selected_top25,article_count,best_quality_score,search_status,geometry_source,marker_lat,marker_lon,total_catch_tonnes,ppr_species,fraction_selected_ppr,rank_selected_ppr,accumulated fraction,catch_tl_coverage,data availability,ppr,search_notes
LME_036,South China Sea,LME,1,8070990713.09262,0.1085668718563684,0.1085668718563684,True,True,7,67,partial_model_found,Selected Sea Around Us polygon from PPR Global Estimation release,14.57461,111.57788,11101666.087778974,8070990713.09262,0.10856687185636843,1,0.10856687185636843,1,available,8070990713.09262,"ExpandedUBC thesis,publisher,author and supplement searches; local mangrove,coralreef,deep-seep and marine-ranch models supplement broader oldmodel. Local evidence is not wholeLME coverage."
LME_032,Arabian Sea,LME,2,4734727053.120913,0.06368914592073575,0.17225601777710414,True,True,4,64,partial_model_found,Selected Sea Around Us polygon from PPR Global Estimation release,20.83059,61.09282,5436428.793803818,4734727053.120913,0.06368914592073575,2,0.1722560177771042,1,available,4734727053.120913,"ExpandedCMFRI/WorldFish/MarinTrust source search; Karnataka2008 source supplied by user and its parameter/diet appendices inspected. Models represent Indian coastal subregions, not entireLME."
LME_034,Bay of Bengal,LME,3,3525461853.606897,0.047422724037356076,0.21967874181446023,True,True,5,71,expanded_search,Selected Sea Around Us polygon from PPR Global Estimation release,14.5833,92.86414,6697725.785375867,3525461853.606897,0.04742272403735608,3,0.2196787418144603,1,available,3525461853.606897,"Targeted LME-name search followed by named regional models and public publisher, institutional, author and report routes. Not an exhaustive literature census. Guenette original BOBLME report URLs failed DNS; public Doczz mirror supplied a verified62-page originalDecember2013report. Later2014revision not substituted. Karim2018 resettled-area article identified (10.15666/aeer/1603_31713196), but legacyBOB2019 has conflictingmetadata and was not silently conflated."
LME_047,East China Sea,LME,4,3396644855.5552316,0.04568994314123751,0.2653686849556977,True,True,3,75,searched_additional_sources,Selected Sea Around Us polygon from PPR Global Estimation release,29.9554,123.82371,5649829.984210193,3396644855.5552316,0.045689943141237525,4,0.2653686849556978,1,available,3396644855.5552316,"Targeted regional and bibliographic searches conducted; this is a broad follow-up search, not an assertion that all literature is exhausted."
LME_052,Sea of Okhotsk,LME,5,2799543440.9812036,0.03765803788130999,0.3030267228370077,True,True,2,48,searched_additional_sources,Selected Sea Around Us polygon from PPR Global Estimation release,55.9495,149.68977,4800852.12562512,2799543440.9812036,0.037658037881309996,5,0.3030267228370078,1,available,2799543440.9812036,"Targeted regional and bibliographic searches conducted; this is a broad follow-up search, not an assertion that all literature is exhausted."
LME_013,Humboldt Current,LME,6,2612052520.1434836,0.035136005146988884,0.3381627279839966,True,True,2,25,source_links_improved,Selected Sea Around Us polygon from PPR Global Estimation release,-44.05031,-73.05294,7390380.680601614,2612052520.1434836,0.03513600514698889,6,0.3381627279839967,1,available,2612052520.1434836,"Recovered exact 2018 IMARPE paper using author/title search; Chilean Patagonia 2026 region must be distinguished from northern Humboldt. Targeted expansion, not an exhaustive literature census."
LME_027,Canary Current,LME,7,2359485422.816173,0.03173860070614519,0.3699013286901418,True,True,3,79,expanded_search,Selected Sea Around Us polygon from PPR Global Estimation release,19.66388,-15.04396,5771015.257329415,2359485422.816173,0.0317386007061452,7,0.3699013286901419,1,available,2359485422.816173,"Targeted LME-name search followed by named regional models and public publisher, institutional, author and report routes. Not an exhaustive literature census."
LME_028,Guinea Current,LME,8,2256398879.66561,0.030351932833737893,0.4002532615238797,True,True,2,53,expanded_search,Selected Sea Around Us polygon from PPR Global Estimation release,5.11506,-1.37888,4469154.981144243,2256398879.66561,0.0303519328337379,8,0.4002532615238798,1,available,2256398879.66561,"Targeted LME-name search followed by named regional models and public publisher, institutional, author and report routes. Not an exhaustive literature census."
HS_077,"Pacific, Eastern Central",High Seas,9,2196179346.027695,0.0295418902225982,0.4297951517464779,True,True,1,70,curated,Selected Sea Around Us polygon from PPR Global Estimation release,7.58693,-148.71829,860671.2076084926,2196179346.027695,0.02954189022259821,9,0.42979515174647803,1,available,2196179346.027695,
LME_035,Gulf of Thailand,LME,10,1868893899.8381805,0.02513941246490838,0.4549345642113863,True,True,2,70,expanded_search,Selected Sea Around Us polygon from PPR Global Estimation release,9.84089,102.08249,2615825.0568618225,1868893899.8381805,0.025139412464908382,10,0.4549345642113864,1,available,1868893899.8381805,"Targeted LME-name search followed by named regional models and public publisher, institutional, author and report routes. Not an exhaustive literature census."
LME_022,North Sea,LME,11,1700184787.4627526,0.022870023088142958,0.47780458729952924,True,True,5,75,additional_sources_found,Selected Sea Around Us polygon from PPR Global Estimation release,57.59745,6.32646,2717260.698205171,1700184787.4627526,0.022870023088142965,11,0.47780458729952935,1,available,1700184787.4627526,"Added whole North Sea2007 report and separate northern2021 and Southern Bight2024 reports; actual Southern Bight model-data archive identified. Targeted expansion, not an exhaustive literature census."
LME_049,Kuroshio Current,LME,12,1682486180.5803437,0.022631950408623983,0.5004365377081532,True,True,2,25,searched_additional_sources,Selected Sea Around Us polygon from PPR Global Estimation release,34.53164,136.12366,3090456.265124474,1682486180.5803437,0.022631950408623987,12,0.5004365377081533,1,available,1682486180.5803437,"Targeted regional and bibliographic searches conducted; this is a broad follow-up search, not an assertion that all literature is exhausted. Kuroshio2025 DOI10.1016/j.ecolmodel.2025.111152 and NPFC2024 precursor searched; no verified full-text or supplemental download found."
LME_038,Indonesian Sea,LME,13,1678212214.8416104,0.022574459190114356,0.5230109968982677,True,True,3,63,expanded_search,Selected Sea Around Us polygon from PPR Global Estimation release,-3.76364,120.96227,2883541.9537540916,1678212214.8416104,0.022574459190114363,13,0.5230109968982677,1,available,1678212214.8416104,"Targeted LME-name search followed by named regional models and public publisher, institutional, author and report routes. Not an exhaustive literature census."
LME_048,Yellow Sea,LME,14,1554214509.6068287,0.020906504975662047,0.5439175018739297,True,True,3,44,searched_additional_sources,Selected Sea Around Us polygon from PPR Global Estimation release,37.35978,123.52829,2658977.968899307,1554214509.6068287,0.02090650497566205,14,0.5439175018739297,1,available,1554214509.6068287,"Targeted regional and bibliographic searches conducted; this is a broad follow-up search, not an assertion that all literature is exhausted."
EEZ_941,Kiribati (Gilbert Islands),EEZ,15,1552445784.5398905,0.0208827129835117,0.5648002148574415,,,1,25,proxy_only,Selected Sea Around Us polygon from PPR Global Estimation release,0.6565,173.77909677761684,599962.7992743407,1552445784.5398905,0.020882712983511704,15,0.5648002148574415,1,available,1552445784.5398905,"Targeted geographic Ecopath/EwE search returned no verified local marine mass-balance model. This is a search outcome, not evidence that no unpublished model exists. No unsupported full-EEZ assignment or island-surrounding rectangle added. Geographic follow-up: Most of the Gilbert Islands EEZ lies within the published 110-180 E, 15 S-15 N warm-pool model domain. Its small portion east of the dateline is outside. Use only as an oceanic basin proxy; national PPR and reef fisheries are not resolved."
EEZ_938,Indonesia (Indian Ocean),EEZ,16,1549538383.7711182,0.020843604103583692,0.5856438189610251,,,1,40,partial_model_found,Selected Sea Around Us polygon from PPR Global Estimation release,-2.1790000000000003,97.39800728291317,2112707.572524511,1549538383.7711182,0.020843604103583695,16,0.5856438189610251,1,available,1549538383.7711182,Ekas Bay is explicitly on southern Lombok and connected to the Indian Ocean. The Java Sea model is not reassigned to Indonesia's Indian-Ocean unit.
HS_071,"Pacific, Western Central",High Seas,17,1482147259.8171525,0.01993709289837338,0.6055809118593986,True,True,1,49,curated,Selected Sea Around Us polygon from PPR Global Estimation release,-3.13636,165.98643,571817.786555246,1482147259.8171525,0.019937092898373383,17,0.6055809118593986,1,available,1482147259.8171525,
LME_050,Sea of Japan / East Sea,LME,18,1439195574.0782979,0.01935932861547552,0.6249402404748741,True,True,1,73,searched_additional_sources,Selected Sea Around Us polygon from PPR Global Estimation release,42.71034,136.16034,2586941.83669577,1439195574.0782979,0.019359328615475523,18,0.6249402404748741,1,available,1439195574.0782979,"Targeted regional and bibliographic searches conducted; this is a broad follow-up search, not an assertion that all literature is exhausted."
LME_014,Patagonian Shelf,LME,19,1391657718.08254,0.01871987349730201,0.6436601139721762,True,True,3,67,additional_sources_found,Selected Sea Around Us polygon from PPR Global Estimation release,-45.26385,-61.82303,1589890.9385366847,1391657718.08254,0.018719873497302014,19,0.643660113972176,1,available,1391657718.08254,"Added actual northern Patagonia food-web manuscript; flagged legacy2005 DOI/model completeness mismatch. Targeted expansion, not an exhaustive literature census."
EEZ_598,Papua New Guinea,EEZ,20,1304961504.0343719,0.017553680015536356,0.6612137939877124,,,1,25,proxy_only,Selected Sea Around Us polygon from PPR Global Estimation release,-6.0825,152.84030405913978,536763.5433324721,1304961504.0343719,0.01755368001553636,20,0.6612137939877124,1,available,1304961504.0343719,No local reef or national EEZ model verified in this pass. Regional warm-pool model overlaps Papua New Guinea oceanic waters.
LME_003,California Current,LME,21,1028923753.7644161,0.013840560260304318,0.6750543542480169,True,True,1,52,source_links_improved,Selected Sea Around Us polygon from PPR Global Estimation release,35.52988,-119.91077,1037537.6190575529,1028923753.7644161,0.013840560260304322,21,0.6750543542480167,1,available,1028923753.7644161,"Publisher-title search recovered California agency PDF and authors' public data/code deposit. Targeted expansion, not an exhaustive literature census."
LME_024,Celtic-Biscay Shelf,LME,22,1010255322.1765621,0.013589441990936205,0.688643796238953,True,True,3,72,expanded_search,Selected Sea Around Us polygon from PPR Global Estimation release,52.12243,-4.06275,1139679.567089067,1010255322.1765621,0.013589441990936209,22,0.688643796238953,1,available,1010255322.1765621,"Targeted LME-name search followed by named regional models and public publisher, institutional, author and report routes. Not an exhaustive literature census."
LME_026,Mediterranean Sea,LME,23,1007915797.3835726,0.013557971890494477,0.7022017681294475,True,True,2,94,expanded_search,Selected Sea Around Us polygon from PPR Global Estimation release,38.45475,18.92112,1487741.6269238535,1007915797.3835726,0.013557971890494479,23,0.7022017681294475,1,available,1007915797.3835726,"Targeted LME-name search followed by named regional models and public publisher, institutional, author and report routes. Not an exhaustive literature census."
LME_029,Benguela Current,LME,24,997757338.2466873,0.013421325452581555,0.715623093582029,True,True,4,79,expanded_search,Selected Sea Around Us polygon from PPR Global Estimation release,-21.10515,14.31504,1592518.0818040825,997757338.2466873,0.013421325452581557,24,0.715623093582029,1,available,997757338.2466873,"Targeted LME-name search followed by named regional models and public publisher, institutional, author and report routes. Not an exhaustive literature census."
LME_037,Sulu-Celebes Sea,LME,25,990198790.8703026,0.013319651708477119,0.7289427452905062,True,True,3,44,expanded_search,Selected Sea Around Us polygon from PPR Global Estimation release,7.92081,121.6302,1731971.9673227614,990198790.8703026,0.013319651708477123,25,0.7289427452905062,1,available,990198790.8703026,"Targeted LME-name search followed by named regional models and public publisher, institutional, author and report routes. Not an exhaustive literature census. Bacalso2014 DOI/publisher, OpenAlexlocations and ResearchGate routes tried; no verified2014file. Bacalso2016 follow-up recovered from UniversityofLisbon teachingrepository."
LME_002,Gulf of Alaska,LME,26,967218747.5530663,0.013010535825834725,0.7419532811163408,True,True,1,71,source_links_improved,Selected Sea Around Us polygon from PPR Global Estimation release,55.8147,-137.96377,1102866.6258441233,967218747.5530663,0.013010535825834729,26,0.741953281116341,1,available,967218747.5530663,"Regional NOAA report recovered; recent ecosystem status reports found but not treated as separate parameter-complete model publications. Targeted expansion, not an exhaustive literature census."
HS_051,"Indian Ocean, Western",High Seas,27,907481876.8369483,0.012206985751416148,0.754160266867757,True,True,1,25,curated,Selected Sea Around Us polygon from PPR Global Estimation release,-12.54782,58.56847,377854.0083285441,907481876.8369483,0.01220698575141615,27,0.7541602668677571,1,available,907481876.8369483,
EEZ_554,New Zealand,EEZ,28,844346453.6499314,0.011357720073582652,0.7655179869413397,,,2,64,partial_model_found,Selected Sea Around Us polygon from PPR Global Estimation release,-43.3805,176.35679545454545,536634.0092869516,844346453.6499314,0.011357720073582654,28,0.7655179869413397,1,available,844346453.6499314,Verified Southern Plateau model and a more recent Tasman/Golden Bays EwE model. Both are subregional.
LME_001,East Bering Sea,LME,29,816435933.9124104,0.010982281923855553,0.7765002688651951,True,True,2,86,additional_sources_found,Selected Sea Around Us polygon from PPR Global Estimation release,58.85559,-162.09753,1300999.7714510453,816435933.9124104,0.010982281923855556,29,0.7765002688651952,1,available,816435933.9124104,"NOAA recent update and 2007 base report located; added open climate/EwE article. Targeted expansion, not an exhaustive literature census."
