unit_id,match_method,tl_source,match_confidence,taxa_count,catch_tonnes,unit_catch_tonnes,unit_taxa,taxa_fraction,catch_fraction
EEZ_008,exact_sea_around_us,Sea Around Us exploited organisms,high,4,6614.600603791,7591.6342411198,16,0.25,0.8713012763395879
EEZ_008,exact_2020_supplement,2020 supplement MeanTL,high,12,977.0336373288001,7591.6342411198,16,0.75,0.12869872366041218
EEZ_012,exact_2020_supplement,2020 supplement MeanTL,high,116,129594.07623864,236644.15639922052,187,0.6203208556149733,0.5476326912548553
EEZ_012,exact_sea_around_us,Sea Around Us exploited organisms,high,71,107050.0801605805,236644.15639922052,187,0.37967914438502676,0.4523673087451447
EEZ_016,exact_2020_supplement,2020 supplement MeanTL,high,58,4791.3298358905,5598.6723460216,109,0.5321100917431193,0.855797506938445
EEZ_016,exact_sea_around_us,Sea Around Us exploited organisms,high,51,807.3425101311,5598.6723460216,109,0.46788990825688076,0.14420249306155505
EEZ_024,exact_sea_around_us,Sea Around Us exploited organisms,high,54,462634.5018377744,619737.0070171057,120,0.45,0.7465013329839846
EEZ_024,exact_2020_supplement,2020 supplement MeanTL,high,66,157102.5051793313,619737.0070171057,120,0.55,0.2534986670160154
EEZ_028,exact_sea_around_us,Sea Around Us exploited organisms,high,19,3754.3180946939997,3754.3180946939997,19,1.0,1.0
EEZ_032,exact_2020_supplement,2020 supplement MeanTL,high,52,1015967.683765324,1455579.1588488943,86,0.6046511627906976,0.6979817467081452
EEZ_032,exact_sea_around_us,Sea Around Us exploited organisms,high,34,439611.4750835704,1455579.1588488943,86,0.3953488372093023,0.3020182532918549
EEZ_036,exact_sea_around_us,Sea Around Us exploited organisms,high,245,115219.3949726247,228804.7535442354,529,0.46313799621928164,0.5035708095564065
EEZ_036,exact_2020_supplement,2020 supplement MeanTL,high,284,113585.3585716107,228804.7535442354,529,0.5368620037807184,0.49642919044359346
EEZ_037,exact_2020_supplement,2020 supplement MeanTL,high,1,434.33,434.33,1,1.0,1.0
EEZ_038,exact_2020_supplement,2020 supplement MeanTL,high,14,96.5683866883,111.5646524811,18,0.7777777777777778,0.8655822838211189
EEZ_038,exact_sea_around_us,Sea Around Us exploited organisms,high,4,14.996265792800001,111.5646524811,18,0.2222222222222222,0.1344177161788811
EEZ_044,exact_sea_around_us,Sea Around Us exploited organisms,high,13,13464.9610659419,18392.7135678369,43,0.3023255813953488,0.7320812677411506
EEZ_044,exact_2020_supplement,2020 supplement MeanTL,high,30,4927.752501895,18392.7135678369,43,0.6976744186046512,0.2679187322588493
EEZ_048,exact_sea_around_us,Sea Around Us exploited organisms,high,29,29843.09947728,40820.826476503,55,0.5272727272727272,0.7310753371066133
EEZ_048,exact_2020_supplement,2020 supplement MeanTL,high,26,10977.726999223,40820.826476503,55,0.4727272727272727,0.26892466289338657
EEZ_050,exact_2020_supplement,2020 supplement MeanTL,high,47,569232.9680145009,1114582.7199230574,116,0.4051724137931034,0.5107139720000294
EEZ_050,exact_sea_around_us,Sea Around Us exploited organisms,high,69,545349.7519085566,1114582.7199230574,116,0.5948275862068966,0.48928602799997073
EEZ_052,exact_sea_around_us,Sea Around Us exploited organisms,high,25,2668.8700587697,3109.8835019505,47,0.5319148936170213,0.8581897222503032
EEZ_052,exact_2020_supplement,2020 supplement MeanTL,high,22,441.0134431808,3109.8835019505,47,0.46808510638297873,0.14181027774969673
EEZ_056,exact_2020_supplement,2020 supplement MeanTL,high,84,4099.5541987521,4482.8223030263,153,0.5490196078431373,0.9145029451612525
EEZ_056,exact_sea_around_us,Sea Around Us exploited organisms,high,69,383.2681042742,4482.8223030263,153,0.45098039215686275,0.08549705483874752
EEZ_060,exact_2020_supplement,2020 supplement MeanTL,high,23,669.3747326074,873.7608096846,37,0.6216216216216216,0.7660846368802271
EEZ_060,exact_sea_around_us,Sea Around Us exploited organisms,high,14,204.3860770772,873.7608096846,37,0.3783783783783784,0.23391536311977293
EEZ_070,exact_sea_around_us,Sea Around Us exploited organisms,high,25,54.29205287,61.020557292999996,45,0.5555555555555556,0.8897338090392718
EEZ_070,exact_2020_supplement,2020 supplement MeanTL,high,20,6.728504423,61.020557292999996,45,0.4444444444444444,0.11026619096072832
EEZ_074,exact_sea_around_us,Sea Around Us exploited organisms,high,7,133.2458818532,133.56110065549998,10,0.7,0.9976398906511481
EEZ_074,exact_2020_supplement,2020 supplement MeanTL,high,3,0.3152188023,133.56110065549998,10,0.3,0.0023601093488519365
EEZ_076,exact_2020_supplement,2020 supplement MeanTL,high,152,555587.4655147367,904109.1796290667,274,0.5547445255474452,0.6145136870999145
EEZ_076,exact_sea_around_us,Sea Around Us exploited organisms,high,122,348521.71411433007,904109.1796290667,274,0.44525547445255476,0.38548631290008556
EEZ_077,exact_sea_around_us,Sea Around Us exploited organisms,high,4,5352.195167221299,6471.8616207145,17,0.23529411764705882,0.8269946857470681
EEZ_077,exact_2020_supplement,2020 supplement MeanTL,high,13,1119.6664534932,6471.8616207145,17,0.7647058823529411,0.1730053142529317
EEZ_084,exact_sea_around_us,Sea Around Us exploited organisms,high,10,5987.2432819653,7918.6908172125,54,0.18518518518518517,0.7560900431863181
EEZ_084,exact_2020_supplement,2020 supplement MeanTL,high,44,1931.4475352472,7918.6908172125,54,0.8148148148148148,0.24390995681368186
EEZ_086,exact_2020_supplement,2020 supplement MeanTL,high,15,71.4181178595,135.2489756326,22,0.6818181818181818,0.5280492330936781
EEZ_086,exact_sea_around_us,Sea Around Us exploited organisms,high,7,63.8308577731,135.2489756326,22,0.3181818181818182,0.47195076690632176
EEZ_090,exact_2020_supplement,2020 supplement MeanTL,high,26,104201.6976580416,142760.9815038889,52,0.5,0.7299032029644814
EEZ_090,exact_sea_around_us,Sea Around Us exploited organisms,high,26,38559.2838458473,142760.9815038889,52,0.5,0.27009679703551853
EEZ_092,exact_sea_around_us,Sea Around Us exploited organisms,high,26,2530.2372738941,4102.3911591021,32,0.8125,0.61677133548813
EEZ_092,exact_2020_supplement,2020 supplement MeanTL,high,6,1572.1538852079998,4102.3911591021,32,0.1875,0.38322866451186993
EEZ_096,exact_sea_around_us,Sea Around Us exploited organisms,high,69,13623.7390078923,16692.4609859602,97,0.711340206185567,0.8161612011165424
EEZ_096,exact_2020_supplement,2020 supplement MeanTL,high,28,3068.7219780678997,16692.4609859602,97,0.28865979381443296,0.1838387988834576
EEZ_100,exact_sea_around_us,Sea Around Us exploited organisms,high,13,12795.629657568401,17051.5126534866,34,0.38235294117647056,0.7504102373552191
EEZ_100,exact_2020_supplement,2020 supplement MeanTL,high,21,4255.8829959182,17051.5126534866,34,0.6176470588235294,0.249589762644781
