Prey	Name	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18
1	Pursuit birds															0.002			
2	Grazing birds																		
3	Baleen whales																		
4	Toothed whales																		
5	Spotted dolphin										0.003					0.003			
6	Mesopelagic dolphins										0.012					0.017			
7	Sea turtles															0.006			
8	Large yellowfin tuna										0.020					0.010			
9	Large bigeye tuna										0.020					0.010			
10	Large marlins																		
11	Large sailfish																		
12	Large swordfish																		
13	Large dorado																		
14	Large wahoo											0.005							
15	Large sharks																		
16	Rays																		
17	Skipjack tuna				0.040	0.001			0.005		0.218	0.010			0.044	0.139		0.001	0.002
18	Albacore				0.005				0.001	0.001	0.005		0.005			0.005			
19	Auxis spp.				0.060	0.058	0.010		0.542	0.020	0.220	0.105	0.001	0.035	0.228	0.051		0.077	0.100
20	Bluefin tuna				0.001				0.001		0.006		0.001	0.001	0.003	0.002			
21	Small yellowfin tuna				0.005				0.001		0.251		0.021	0.014	0.113	0.096		0.001	
22	Small bigeye tuna				0.020							0.022			0.007	0.010			
23	Small marlins										0.005	0.005				0.003			
24	Small sailfish										0.005	0.005				0.003			
25	Small swordfish										0.001	0.001				0.001			
26	Small dorado				0.010	0.011			0.004		0.024	0.046		0.018	0.022	0.019			
27	Small wahoo				0.015						0.024	0.031			0.001	0.040			
28	Small sharks																		
29	Miscellaneous piscivores				0.050	0.010			0.017	0.063	0.025	0.250	0.002	0.049	0.056	0.040			0.026
30	Flyingfishes	0.550			0.020	0.070			0.050		0.006			0.551	0.152	0.011		0.012	0.050
31	Misc. epipelagic fishes	0.050	0.050	0.114	0.090	0.088	0.176	0.050	0.285	0.093	0.060	0.073	0.273	0.064	0.130	0.392	0.150	0.312	0.538
32	Misc. mesopelagic fishes	0.050	0.300		0.038	0.158	0.541		0.048	0.090		0.369	0.005	0.146	0.073	0.011		0.176	0.010
33	Cephalopods	0.350		0.020	0.646	0.597	0.253	0.050	0.036	0.713	0.095	0.090	0.604	0.107	0.125	0.115	0.050	0.303	0.250
34	Crabs			0.026			0.020	0.100	0.008	0.020				0.015	0.046	0.014	0.050	0.003	0.016
35	Mesozooplankton		0.390	0.840		0.006		0.469	0.001			0.006	0.066				0.450	0.069	0.009
36	Microzooplankton		0.260			0.001		0.301	0.001			0.004					0.300	0.046	
37	Large phytoplankton							0.030											
38	Small producers																		
39	Detritus																		
40	Prey from outside the ETP																		
