Group number,Group name,Comm_Dredge_Dig,Comm_Handline,Comm_Longline_Fish,Comm_Longline_Pelagic,Comm_Longline_Shark,Comm_Nets,Comm_Other,Comm_Pots_Traps,Comm_Purse_Menhaden,Comm_Purse_Other,Comm_Trawl_Bottom_Other,Comm_Trawl_Bottom_Shrimp,Rec Headboat,Rec Shore,Rec Charterboat,Rec Private,Comm_Dredge_Dig,Comm_Handline,Comm_Longline_Fish,Comm_Longline_Pelagic,Comm_Longline_Shark,Comm_Nets,Comm_Other,Comm_Pots_Traps,Comm_Purse_Menhaden,Comm_Purse_Other,Comm_Trawl_Bottom_Other,Comm_Trawl_Bottom_Shrimp,Rec Headboat,Rec Shore,Rec Charterboat,Rec Private,Comm_Dredge_Dig,Comm_Handline,Comm_Longline_Fish,Comm_Longline_Pelagic,Comm_Longline_Shark,Comm_Nets,Comm_Other,Comm_Pots_Traps,Comm_Purse_Menhaden,Comm_Purse_Other,Comm_Trawl_Bottom_Other,Comm_Trawl_Bottom_Shrimp,Rec Headboat,Rec Shore,Rec Charterboat,Rec Private
27,Gag grouper (3+yr),,0.002379387,0.00013971,,,,,,,,,,0.000119494,0.000171155,0.000562869,0.0010608,,2.07E-06,2.90E-08,,,,,,,,,,5.00E-07,,1.04E-06,2.25E-06,,1,1,,,,,,,,,,1,1,1,1
28,Red grouper (0-3yr),,,,,,,,,,,,,,,,,,4.71E-08,2.22E-07,,,,,1.90E-07,,,,,1.21E-06,1.58E-05,3.01E-06,3.01E-06,,,,,,,,,,,,,,,,
29,Red grouper (3+yr),,0.005629835,3.98E-09,,,,,6.53E-05,,,,,0.000207371,,0.000382213,0.000650994,,5.01E-05,0.00018923,,,1.68E-07,,1.38E-05,,,,,1.45E-05,,,0.000192012,,1,1,,,,,1,,,,,1,,1,1
30,Yellowedge grouper (0-3yr),,1.40E-08,1.71E-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,
31,Yellowedge grouper (3+yr),,0.000552805,0.000721957,,,,,,,,,,1.06E-06,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,1,,,
32,Goliath grouper,,0.000267742,,,,,,,,,,2.67E-05,1.90E-06,,,,,,,,,,,,,,,,,,2.38E-09,,,1,,,,,,,,,,1,1,,,
33,Deep-water grouper,,0.000148387,2.58E-05,,,,,3.23E-06,,,,,9.56E-06,,1.95E-05,0.000708979,,,,,,,,,,,,,,,,,,1,1,,,,,1,,,,,1,,1,1
34,Shallow-water grouper,,,,,,,,,,,,,7.68E-06,0.001318875,0.001605796,0.001178489,,,,,,,,,,,,,,0.000170634,8.57E-05,0.000140243,,,,,,,,,,,,,1,1,1,1
35,Red snapper (0yr),,1.97E-09,3.06E-09,,,,,,,,,,2.91E-10,,,,,5.45E-08,5.34E-08,,,,,,,,,0.000911198,1.46E-09,,5.54E-08,5.54E-08,,1,1,,,,,,,,,,1,,,
36,Red snapper (1-2yr),,0.001696982,1.82E-06,,,,,,,,,,0.000376069,,,,,1.03E-05,0.000106371,,,,,,,,,6.18E-05,5.65E-08,,3.12E-07,3.12E-07,,1,1,,,,,,,,,,0,,,
37,Red snapper (3+yr),,0.004750584,0.000200202,,,,,,,,,,0.001870331,,0.0019,0.0019,,4.01E-08,0.000167214,,,,,,,,,1.35E-13,3.35E-09,,6.88E-09,6.88E-09,,1,1,,,,,,,,,,1,,1,1
38,Vermilion snapper,,0.000450831,6.50E-07,,,,,,,,,,5.86E-05,,1.44E-05,0.00010844,,,,,,,,,,,,0.002244716,,,2.69E-06,,,1,1,,,,,,,,,,1,,1,1
39,Mutton snapper,,0.000335865,0.0001463,,,,6.45E-06,3.55E-05,,,,,,0.000262935,2.56E-05,8.46E-05,,1.66E-06,,,,,,,,,,,,,5.84E-06,,,1,1,,,,1,1,,,,,,1,1,1
40,Other snapper,,0.000712903,6.45E-06,,,0.000258065,1.94E-05,3.55E-05,,,,,1.72E-05,0.000221646,0.000234548,0.000701406,,,,,,,,,,,,,,2.77E-05,4.54E-06,4.78E-05,,1,1,,,1,1,1,,,,,1,1,1,1
41,Inshore coastal piscivores,,1.29E-05,0.000114887,,,0.001957018,,,0.01406535,0.001248387,3.23E-06,,5.88E-07,0.000781439,0.000324734,0.000422311,,,,,,,,,7.05E-09,,,,,6.01E-05,0.000240658,7.60E-05,,1,1,,,1,,,1,1,1,,1,1,1,1
42,Sea trout,,0.000441198,,,,0.003837058,,,0.01465988,,4.19E-05,0.003292781,3.32E-06,0.007880049,0.00088276,0.01408389,,,,,,,,,7.43E-07,,,0.004217966,,9.87E-05,5.22E-06,0.000592855,,1,,,,1,,,1,,1,1,1,1,1,1
43,Oceanic piscivores,,,,,,,,,0.000368014,,,,,1.72E-06,,,,,,,,,,,6.34E-08,,,,,,2.56E-08,,,,,,,,,,1,,,,,1,,
44,Benthic piscivores,,,,,,,,,2.42E-07,,,,3.34E-07,0.001048169,4.30E-06,0.000992653,,,,,,,,,5.30E-12,,,0.000114446,,4.62E-05,1.08E-07,0.000118169,,,,,,,,,1,,,,1,1,1,1
45,Reef piscivores,,,,,,,,,,,,,2.62E-06,3.95E-05,0.000208832,0.004724706,,,,,,,,,,,,,,1.60E-06,4.45E-05,3.24E-05,,,,,,,,,,,,,1,1,1,1
46,Reef invertebrate feeders,,0.00080491,6.45E-06,,,0.000736993,1.94E-05,8.71E-05,0.000198048,3.23E-06,6.45E-06,0.001182037,0.00015219,0.001536707,0.000490389,0.007621203,,0.00098,,,,,,,,,,5.33E-05,5.81E-06,0.000147684,2.89E-05,0.000283773,,1,1,,,1,1,1,1,1,1,1,1,1,1,1
47,Demersal coastal invertebrate feeders,,0.00032034,0.005542688,,,0.009927296,9.68E-06,0.00138614,0.01593636,,0.000158065,0.01125445,8.46E-05,0.002855499,7.56E-05,0.009071999,,,,,,,,,2.26E-06,,,0.01465532,,0.000481184,7.09E-06,0.00316201,,1,1,,,1,1,1,1,,1,1,1,1,1,1
48,Red drum,,0.000150615,,,,0.00414086,,,2.05E-05,,,0.002200636,1.21E-06,0.000829715,9.88E-05,0.005015579,,,,,,,,,1.92E-08,,,0.000158542,,2.38E-05,1.64E-05,6.50E-05,,1,,,,1,,,1,,,1,1,1,1,1
49,Benthic coastal invertebrate feeders,,,,,,,0.000180645,,6.41E-05,,,,1.38E-05,1.73E-05,7.98E-06,3.50E-05,,,,,,,,,6.51E-09,,,,,7.64E-05,6.21E-06,0.000158177,,,,,,,1,,1,,,,1,1,1,1
50,Tilefish,,6.02E-05,4.08E-05,,,,,,,,,,5.95E-07,0.000194543,,8.22E-07,,,1.36E-05,,,,,,,,,,,,,,,1,1,,,,,,,,,,1,1,,1
51,Gray triggerfish,,0.000135671,5.41E-06,,,,,,,,,,8.59E-05,1.31E-05,0.00064497,0.000795282,,,,,,,,,,,,0.006163677,1.57E-05,,1.57E-05,1.57E-05,,1,1,,,,,,,,,,0,1,1,1
52,Coastal omnivores,,,,,,,,,0.000109526,,,,1.12E-05,0.001151033,,0.001418509,,,,,,,,,,,,,,0.000159981,1.13E-06,6.12E-05,,,,,,,,,1,,,,1,1,,1
53,Reef omnivores,,,,,,,,,,,,,5.01E-07,1.61E-05,6.25E-07,5.63E-05,,,,,,,,,,,,,,3.12E-06,,3.12E-06,,,,,,,,,,,,,1,1,1,1
54,Surface pelagics,,,,,,3.23E-06,,,2.90E-05,0.000293548,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,1,,,,,,
55,Large oceanic planktivores,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,Oceanic planktivores,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,Sardine-herring-scad,,,,,,0.00346129,,,0.001901209,0.002225806,,,1.29E-08,1.24E-08,,5.53E-05,,,,,,,,,,,,,,3.49E-06,3.96E-08,5.02E-06,,,,,,1,,,1,1,,,1,1,,1
58,Menhaden (0yr),,,,,,0.001067239,,,0.001319155,2.04E-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,1,,,,,,
59,Menhaden (1yr),,,,,,0.000263213,,,0.758881,0.00032488,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,1,,,,,,
60,Menhaden (2yr),,,,,,0.00049748,,,1.254412,0.000859318,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,1,,,,,,
61,Menhaden (3yr),,,,,,7.00E-05,,,0.2157176,0.00011343,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,1,,,,,,
62,Menhaden (4yr),,,,,,1.18E-05,,,0.03170095,1.32E-05,,,,2.77E-07,,,,,,,,,,,,,,,,0.000272891,2.43E-07,,,,,,,1,,,1,1,,,,1,,
63,Anchovy-silverside-killifish,,,,,,,,,9.65E-06,,,,,3.28E-08,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,
64,Mullet,,3.23E-06,,,,0.04173691,3.23E-06,,0.001238926,0.000187097,,0.000217647,,0.001190156,,0.000329479,,,,,,,,,,,,,,1.26E-05,,2.32E-06,,1,,,,1,1,,1,1,,1,,1,,1
65,Butterfish,,,,,,,,,0.001178386,,,,,,,,,,,,,,,,,,,,,0.000532464,,1.26E-06,,,,,,,,,1,,,,,,,
66,Cephalopod,,,,,,,,,7.13E-05,,1.94E-05,6.54E-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,1,,,,
67,Pink shrimp,,,,,,,,,,,0.00056129,0.0263376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,
68,Brown shrimp,,,,,,0.001793548,,,2.66E-05,,0.02781613,0.1009608,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,1,1,,,,
69,White shrimp,,,,,,0.002216129,,,3.27E-05,,6.13E-05,0.0629176,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,1,1,,,,
70,Crab,3.23E-06,0.00046022,,,,0.000187993,,0.04464137,0.000134974,,9.68E-06,0.01855476,,,,,,,,,,,,,,,,,,,,,1,1,,,,1,,1,1,,1,1,,,,
71,Sessile epifauna,0.02264474,,,,,,,,,,,0.005088926,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,
72,Mobile epifauna,0.000162471,3.76E-06,,,,0.000182108,0.000258065,0.01333012,2.91E-05,6.45E-06,0.001013196,0.01913311,,,,,,,,,,,,,,,,,,,,,1,1,,,,1,1,1,1,1,1,1,,,,
73,Zooplankton,,,,,,,,,0.001963197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
74,Infauna,9.68E-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
75,Algae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,Seagrass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,Phytoplankton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,Detritus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
