,Source / fate,2,3,4,5,6,7,8,9,10,11,12,13,14
1,Phytoplankton,0.900,0.295,0.300,,0.250,,,,,,,,
2,Microzooplankton,0.100,0.700,0.250,,,,,,,,,,
3,Mesozooplankton,,0.005,0.450,,0.400,,,,,,,,
4,Macrozooplankton,,,,,0.350,,0.700,0.070,0.100,,,,
5,Benthos,,,,,,1.000,0.200,0.110,0.010,0.500,0.050,,0.060
6,Small pelagic fish,,,,,,,0.100,0.310,0.890,0.020,0.050,0.100,0.100
7,Other demersal fish,,,,,,,,0.050,,0.150,,,0.100
8,Hoki (j),,,,,,,,0.180,,0.050,,0.600,0.025
9,Hoki (a),,,,,,,,,,,0.060,,0.025
10,Southern blue whiting,,,,,,,,0.010,,0.040,,0.200,
11,Kingklip,,,,,,,,,,,0.020,,0.002
12,Skates,,,,,,,,,,,,,
13,Southern hake,,,,,,,,,,0.020,,0.100,0.100
14,Sea lions,,,,,,,,,,,,,
15,Detritus,,,,1.000,,,,,,,,,
,Import,,,,,,,,0.27,,0.22,0.82,,0.59
,Sum,1,1,1,1,1,1,1,1,1,1,1,1,1.002
,(1 - Sum),0,0,0,0,0,0,0,0,0,0,0,0,0
