taxon,common_name,functional_group,commercial_group,group,weights,confidence,evidence,explanation
Marine fishes not identified,Marine fishes nei,Medium demersals (30 - 89 cm),Other fishes & inverts,Unresolved,,unresolved,none,Aggregate Sea Around Us catch category with no taxonomic resolution; spans essentially the whole model's fish-guild structure.
Sardinops sagax,South American pilchard,Medium pelagics (30 - 89 cm),Herring-likes,Planktivores,,medium,inherited_mapping,"Clupeidae filter-feeding planktivore; the family is split across guilds in this model (Sardinella aurita -> Planktivores vs. Ilisha elongata -> Omnivores), so genus-level ecological similarity to the Planktivores exemplar (obligate zooplankton filter-feeder) plus a lower reported trophic level (2.8-3.2, closer to Planktivores' 2.92-2.95 than Omnivores' 3.14-3.43) supports this placement over an exact taxonomic rule. The paper states diet-matrix values (not group membership) were revised between M1997 and M2018 for this guild; the same species roster is applied to both models since Supplementary Table S1 is presented as a single, undated group list."
Trichiurus lepturus,Largehead hairtail,Large benthopelagics (>=90 cm),Perch-likes,Hairtails,,high,inherited_mapping,"Exact species; Hairtails is this species' dedicated group. The paper states diet-matrix values (not group membership) were revised between M1997 and M2018 for this guild; the same species roster is applied to both models since Supplementary Table S1 is presented as a single, undated group list."
Engraulis japonicus,Japanese anchovy,Small pelagics (<30 cm),Anchovies,Planktivores,,high,inherited_mapping,"Engraulidae; Table S1's Planktivores membership includes three Engraulidae genera (Thryssa x3, Stolephorus commersonnii), so this family is explicitly and repeatedly represented in the group's definition. The paper states diet-matrix values (not group membership) were revised between M1997 and M2018 for this guild; the same species roster is applied to both models since Supplementary Table S1 is presented as a single, undated group list."
Scomber japonicus,Pacific chub mackerel,Medium pelagics (30 - 89 cm),Perch-likes,Planktivores/Benthivores,,high,inherited_mapping,Exact species listed in Table S1 under this group.
Scomber,Chub mackerels,Medium pelagics (30 - 89 cm),Perch-likes,Planktivores/Benthivores,,high,inherited_mapping,Genus of the exact Table S1 member S. japonicus.
Cololabis saira,Pacific saury,Medium pelagics (30 - 89 cm),Other fishes & inverts,Planktivores,,medium,inherited_mapping,"Pacific saury; small pelagic feeder primarily on zooplankton, ecologically consistent with this guild despite a somewhat higher reported trophic level (3.71) than the group's band. The paper states diet-matrix values (not group membership) were revised between M1997 and M2018 for this guild; the same species roster is applied to both models since Supplementary Table S1 is presented as a single, undated group list."
Mollusca,"Clams, seasnails, squids, octopuses",Other demersal invertebrates,Molluscs,Mollusks,,high,inherited_mapping,"Mollusca (bivalve or gastropod) not in Cephalopoda; Table S1 lists 'Bivalves' as the group's example composition and Cephalopods is the model's only other molluscan-lineage group, so any remaining mollusc is an unambiguous taxonomic fit to Mollusks."
Miscellaneous marine crustaceans,"Marine crabs, shrimps, lobsters nei",Shrimps,Crustaceans,Unresolved,,unresolved,none,"Aggregate Sea Around Us catch category with no taxonomic resolution below 'crustacean'; could be shrimp, crab, or other decapods. Sea Around Us's own functional_group label ('Shrimps') is a size/habitat bucket, not a taxonomic identification, so it is not treated as sufficient evidence on its own."
Larimichthys polyactis,Yellow croaker,Medium benthopelagics (30 - 89 cm),Perch-likes,Small yellow croakers,,high,inherited_mapping,Exact species; dedicated group.
Acetes japonicus,Akiami paste shrimp,Shrimps,Crustaceans,Shrimps,,high,inherited_mapping,Genus Acetes is explicitly listed in Table S1 (Acetes chinensis); family Sergestidae.
Todarodes pacificus,Japanese flying squid,Cephalopods,Other fishes & inverts,Cephalopods,,high,inherited_mapping,"Cephalopoda; Cephalopods is the model's only cephalopod group (Table S1: Abralia, Euprymna, Loligo, Sepiella, Ommastrephes bartrami, Sepia esculenta, Octopus ocellatus, Uroteuthis, Sepioteuthis, Argonauta), so any cephalopod taxon is an unambiguous fit. Ommastrephes bartramii is the accepted-name spelling of the explicitly listed O. bartrami."
Sciaenidae,"Drums, croakers",Medium demersals (30 - 89 cm),Perch-likes,Unresolved,,unresolved,none,"Croaker family spans at least five of the model's groups depending on genus (Larimichthys crocea -> Large yellow croakers, L. polyactis -> Small yellow croakers, Pennahia argentata -> Piscivores or Benthivores/piscivores, Miichthys miiuy/Atrobucca nibe -> Benthivores/piscivores, Nibea albiflora/Collichthys lucidus -> Omnivores); the family-level row carries no further identifying information."
Stephanolepis cirrhifer,Threadsail filefish,Small demersals (<30 cm),Other fishes & inverts,Benthivores,,medium,inherited_mapping,Filefish grazing on benthic invertebrates/algae; low trophic level (2.84) close to the Benthivores band.
